ref,club,tag
clubtag-1,REF-club-SOS,REF-tag-badminton
clubtag-2,REF-club-blofield,REF-tag-badminton
clubtag-3,REF-club-CP81,REF-tag-badminton
clubtag-4,REF-club-APP,REF-tag-badminton
clubtag-5,REF-club-beccles,REF-tag-badminton
clubtag-6,REF-club-beccles63,REF-tag-badminton
clubtag-7,REF-club-besthorpe,REF-tag-badminton
clubtag-8,REF-club-breckland,REF-tag-badminton
clubtag-9,REF-club-eatoneagles,REF-tag-badminton
clubtag-10,REF-club-FBI,REF-tag-badminton
clubtag-11,REF-club-lingwood,REF-tag-badminton
clubtag-12,REF-club-midnorfolk,REF-tag-badminton
clubtag-13,REF-club-tasburgh,REF-tag-badminton
clubtag-14,REF-club-teachers,REF-tag-badminton
clubtag-15,REF-club-YMCA,REF-tag-badminton
clubtag-16,REF-club-UEA,REF-tag-badminton
clubtag-17,REF-club-kingslynn,REF-tag-badminton
clubtag-18,REF-club-psc,REF-tag-badminton
clubtag-19,REF-club-stalham,REF-tag-badminton
clubtag-20,REF-club-YMCA,REF-tag-clubmark
