ref,club,venue
clubvenue-blofield,REF-club-blofield,REF-venue-blofield
clubvenue-blofield2,REF-club-blofield,REF-venue-townclose
clubvenue-CP81,REF-club-CP81,REF-venue-loddon
clubvenue-SOS,REF-club-SOS,REF-venue-hethersett
clubvenue-APP,REF-club-APP,REF-venue-caister
clubvenue-beccles,REF-club-beccles,REF-venue-becclessc
clubvenue-beccles63,REF-club-beccles63,REF-venue-becclessc
clubvenue-besthorpe,REF-club-besthorpe,REF-venue-attleborough
clubvenue-breckland,REF-club-breckland,REF-venue-breckland
clubvenue-eatoneagles,REF-club-eatoneagles,REF-venue-nhsfg
clubvenue-eatoneagles2,REF-club-eatoneagles,REF-venue-taverhamhigh
clubvenue-FBI,REF-club-FBI,REF-venue-bobcarter
clubvenue-lingwood,REF-club-lingwood,REF-venue-citycollegenorwich
clubvenue-tasburgh,REF-club-tasburgh,REF-venue-longstratton
clubvenue-teachers,REF-club-teachers,REF-venue-nhsfg
clubvenue-YMCA,REF-club-YMCA,REF-venue-hellesdon
clubvenue-UEA,REF-club-UEA,REF-venue-sportspark
clubvenue-kingslynn,REF-club-kingslynn,REF-venue-lynnsport
clubvenue-midnorfolk,REF-club-midnorfolk,REF-venue-dereham
clubvenue-psc,REF-club-psc,REF-venue-townclose
clubvenue-stalham,REF-club-stalham,REF-venue-stalham
