ref,clubVenue,timeslot
clubvenuetimeslot-1,REF-clubvenue-APP,REF-timeslot-thursdayclub
clubvenuetimeslot-2,REF-clubvenue-APP,REF-timeslot-thursdaymatch
clubvenuetimeslot-3,REF-clubvenue-beccles,REF-timeslot-wedclub
clubvenuetimeslot-4,REF-clubvenue-beccles,REF-timeslot-wedmatch
clubvenuetimeslot-5,REF-clubvenue-beccles63,REF-timeslot-friclub
clubvenuetimeslot-6,REF-clubvenue-beccles63,REF-timeslot-frimatch
clubvenuetimeslot-7,REF-clubvenue-besthorpe,REF-timeslot-monclub
clubvenuetimeslot-8,REF-clubvenue-besthorpe,REF-timeslot-wedmatch
clubvenuetimeslot-9,REF-clubvenue-blofield2,REF-timeslot-tuesclub
clubvenuetimeslot-10,REF-clubvenue-blofield,REF-timeslot-frimatch
clubvenuetimeslot-11,REF-clubvenue-blofield,REF-timeslot-sunmatch
clubvenuetimeslot-12,REF-clubvenue-CP81,REF-timeslot-wedclub
clubvenuetimeslot-13,REF-clubvenue-CP81,REF-timeslot-wedmatch
clubvenuetimeslot-14,REF-clubvenue-eatoneagles,REF-timeslot-thursdayclub
clubvenuetimeslot-15,REF-clubvenue-eatoneagles2,REF-timeslot-wedmatch
clubvenuetimeslot-16,REF-clubvenue-FBI,REF-timeslot-tuesclub
clubvenuetimeslot-17,REF-clubvenue-FBI,REF-timeslot-frimatch
clubvenuetimeslot-18,REF-clubvenue-lingwood,REF-timeslot-friclub
clubvenuetimeslot-19,REF-clubvenue-lingwood,REF-timeslot-frimatch
clubvenuetimeslot-20,REF-clubvenue-midnorfolk,REF-timeslot-tuesclub
clubvenuetimeslot-21,REF-clubvenue-midnorfolk,REF-timeslot-thursdayclub
clubvenuetimeslot-22,REF-clubvenue-midnorfolk,REF-timeslot-tuesmatch
clubvenuetimeslot-23,REF-clubvenue-psc,REF-timeslot-friclub
clubvenuetimeslot-24,REF-clubvenue-psc,REF-timeslot-frimatch
clubvenuetimeslot-25,REF-clubvenue-SOS,REF-timeslot-tuesclub
clubvenuetimeslot-26,REF-clubvenue-SOS,REF-timeslot-wedmatch
clubvenuetimeslot-27,REF-clubvenue-stalham,REF-timeslot-tuesclub
clubvenuetimeslot-28,REF-clubvenue-stalham,REF-timeslot-tuesmatch
clubvenuetimeslot-29,REF-clubvenue-tasburgh,REF-timeslot-monclub
clubvenuetimeslot-30,REF-clubvenue-tasburgh,REF-timeslot-wedmatch
clubvenuetimeslot-31,REF-clubvenue-teachers,REF-timeslot-monmatch
clubvenuetimeslot-32,REF-clubvenue-teachers,REF-timeslot-wedclub
clubvenuetimeslot-33,REF-clubvenue-teachers,REF-timeslot-wedmatch
clubvenuetimeslot-34,REF-clubvenue-UEA,REF-timeslot-thursdaymatch
clubvenuetimeslot-35,REF-clubvenue-YMCA,REF-timeslot-tuesclub
clubvenuetimeslot-36,REF-clubvenue-YMCA,REF-timeslot-tuesmatch
